Topic;Natural gas|Transport rate (euro/year);Natural gas|Fixed delivery rate  (euro/year);Natural gas|Variable delivery rate(euros/m3);Natural gas|ODE tax (Environmental Taxes Act Euro/year);Natural gas|Energy tax(euros/m3);Electricity|Transport rate(Euro/year);Electricity|Fixed delivery rate(Euro/year);Electricity|Variable delivery rate(Euro/kWh);Electricity|ODE tax (Environmental Taxes Act Euro/kWh);Electricity|Energy tax(Euro/kWh);Electricity|Energy tax refund(Euro/year)
Jan/18;179.74;53.42;0.3182;0.03449;0.31461;239.09;51.84;0.0671;0.01597;0.12654;-373.33
Feb/18;179.74;53.98;0.3180;0.03449;0.31461;239.09;52.49;0.0670;0.01597;0.12654;-373.33
Mar/18;179.74;53.98;0.3179;0.03449;0.31461;239.09;52.49;0.0673;0.01597;0.12654;-373.33
Apr/18;179.74;53.98;0.3127;0.03449;0.31461;239.09;52.49;0.0667;0.01597;0.12654;-373.33
May/18;179.74;53.98;0.3145;0.03449;0.31461;239.09;52.49;0.0676;0.01597;0.12654;-373.33
Jun/18;179.74;53.98;0.3202;0.03449;0.31461;239.09;52.49;0.0691;0.01597;0.12654;-373.33
Jul/18;179.74;59.93;0.3367;0.03449;0.31461;239.09;59.43;0.0722;0.01597;0.12654;-373.33
Aug/18;179.74;59.11;0.3387;0.03449;0.31461;239.09;58.25;0.0730;0.01597;0.12654;-373.33
Sep/18;179.74;59.11;0.3418;0.03449;0.31461;239.09;58.25;0.0746;0.01597;0.12654;-373.33
Oct/18;179.74;59.17;0.3479;0.03449;0.31461;239.09;58.32;0.0766;0.01597;0.12654;-373.33
Nov/18;179.74;59.17;0.3658;0.03449;0.31461;239.09;58.32;0.0810;0.01597;0.12654;-373.33
Dec/18;179.74;59.17;0.3627;0.03449;0.31461;239.09;58.32;0.0802;0.01597;0.12654;-373.33
Jan/19;177.92;59.89;0.3827;0.06340;0.35469;238.67;59.60;0.0865;0.02287;0.11934;-311.62
Feb/19;177.58;66.12;0.3759;0.06340;0.35469;239.02;65.56;0.0857;0.02287;0.11934;-311.62
Mar/19;177.58;66.12;0.3671;0.06340;0.35469;238.21;65.60;0.0841;0.02287;0.11934;-311.62
Apr/19;177.58;66.12;0.3630;0.06340;0.35469;238.21;65.60;0.0820;0.02287;0.11934;-311.62
May/19;177.58;66.12;0.3570;0.06340;0.35469;238.21;65.60;0.0811;0.02287;0.11934;-311.62
Jun/19;177.58;66.12;0.3588;0.06340;0.35469;238.21;65.60;0.0815;0.02287;0.11934;-311.62
Jul/19;177.58;67.72;0.3429;0.06340;0.35469;238.21;67.78;0.0785;0.02287;0.11934;-311.62
Aug/19;177.58;68.04;0.3343;0.06340;0.35469;238.21;68.42;0.0768;0.02287;0.11934;-311.62
Sep/19;177.58;68.04;0.3324;0.06340;0.35469;238.21;68.42;0.0772;0.02287;0.11934;-311.62
Oct/19;177.58;68.04;0.3297;0.06340;0.35469;238.21;68.42;0.0769;0.02287;0.11934;-311.62
Nov/19;177.58;68.04;0.3320;0.06340;0.35469;238.21;68.44;0.0773;0.02287;0.11934;-311.62
Dec/19;177.58;68.04;0.3301;0.06340;0.35469;238.21;68.44;0.0765;0.02287;0.11934;-311.62
Jan/20;185.36;66.52;0.3227;0.09378;0.40301;241.85;67.50;0.0768;0.03303;0.11822;-527.17
Feb/20;185.36;66.52;0.3169;0.09378;0.40301;241.85;67.50;0.0755;0.03303;0.11822;-527.17
Mar/20;185.36;67.12;0.3060;0.09378;0.40301;241.85;68.08;0.0733;0.03303;0.11822;-527.17
Apr/20;185.36;67.01;0.2942;0.09378;0.40301;241.85;67.98;0.0707;0.03303;0.11822;-527.17
May/20;185.36;67.01;0.2888;0.09378;0.40301;241.85;67.98;0.0690;0.03303;0.11822;-527.17
Jun/20;185.36;67.01;0.2843;0.09378;0.40301;241.85;67.98;0.0682;0.03303;0.11822;-527.17
Jul/20;185.36;68.52;0.2616;0.09378;0.40301;241.85;68.82;0.0675;0.03303;0.11822;-527.17
Aug/20;185.36;67.95;0.2630;0.09378;0.40301;241.85;68.89;0.0685;0.03303;0.11822;-527.17
Sep/20;185.36;69.18;0.2634;0.09378;0.40301;241.85;69.34;0.0691;0.03303;0.11822;-527.17
Oct/20;185.36;69.18;0.2649;0.09378;0.40301;241.85;69.34;0.0692;0.03303;0.11822;-527.17
Nov/20;185.36;69.29;0.2696;0.09378;0.40301;241.85;69.44;0.0701;0.03303;0.11822;-527.17
Dec/20;185.36;69.60;0.2720;0.09378;0.40301;241.85;69.73;0.0700;0.03303;0.11822;-527.17
Jan/21;187.85;70.19;0.2660;0.10297;0.42176;257.36;71.33;0.0697;0.03630;0.11408;-558.56
Feb/21;187.85;70.17;0.2758;0.10297;0.42176;257.36;71.61;0.0735;0.03630;0.11408;-558.56
Mar/21;187.85;70.17;0.2842;0.10297;0.42176;257.36;71.61;0.0753;0.03630;0.11408;-558.56
Apr/21;187.85;70.76;0.2890;0.10297;0.42176;257.36;72.12;0.0768;0.03630;0.11408;-558.56
May/21;187.85;70.76;0.2886;0.10297;0.42176;257.36;72.12;0.0779;0.03630;0.11408;-558.56
Jun/21;187.85;70.76;0.3015;0.10297;0.42176;257.36;72.12;0.0812;0.03630;0.11408;-558.56
Jul/21;187.85;71.98;0.3429;0.10297;0.42176;257.36;73.26;0.0928;0.03630;0.11408;-558.56
Aug/21;187.85;72.21;0.3564;0.10297;0.42176;257.36;73.26;0.0942;0.03630;0.11408;-558.56
Sep/21;187.85;72.21;0.4054;0.10297;0.42176;257.36;73.26;0.1064;0.03630;0.11408;-558.56
Oct/21;187.85;72.21;0.5278;0.10297;0.42176;257.36;73.26;0.1270;0.03630;0.11408;-558.56
Nov/21;187.85;72.26;0.7479;0.10297;0.42176;257.36;73.26;0.1755;0.03630;0.11408;-558.56
Dec/21;187.85;71.70;0.8940;0.10297;0.42176;257.36;72.82;0.2188;0.03630;0.11408;-558.56
Jan/22;191.32;72.74;11.956;0.10467;0.43950;267.12;72.55;0.3169;0.03691;0.04452;-824.77
Feb/22;191.32;72.74;11.247;0.10467;0.43950;267.12;72.55;0.2966;0.03691;0.04452;-824.77
Mar/22;191.32;72.74;18.451;0.10467;0.43950;267.12;72.55;0.4814;0.03691;0.04452;-824.77
Apr/22;191.32;72.74;16.844;0.10467;0.43950;267.12;72.55;0.4363;0.03691;0.04452;-824.77
May/22;191.32;72.74;14.220;0.10467;0.43950;267.12;72.55;0.3613;0.03691;0.04452;-824.77
Jun/22;191.32;72.74;12.181;0.10467;0.43950;267.12;72.55;0.3342;0.03691;0.04452;-824.77
Jul/22;172.35;65.53;15.908;0.09429;0.39591;240.63;65.36;0.4187;0.03325;0.04010;-742.98
Aug/22;172.35;65.53;21.147;0.09429;0.39591;240.63;65.36;0.5028;0.03325;0.04010;-742.98
Sep/22;172.35;65.53;27.706;0.09429;0.39591;240.63;65.36;0.6439;0.03325;0.04010;-742.98
Oct/22;172.35;65.53;27.830;0.09429;0.39591;240.63;65.36;0.6588;0.03325;0.04010;-742.98
